IQ,CGPA,Internship_Experience,Projects_Completed,Placement
83,5.27,Yes,2,No
89,7.65,Yes,0,No
110,9.16,No,1,No
89,8.95,Yes,1,No
103,5.18,Yes,2,No
100,9.04,No,2,Yes
90,6.52,No,4,No
132,5.62,Yes,2,No
109,9.71,Yes,2,No
69,9.06,No,3,Yes
102,8.29,No,3,No
90,7.72,No,1,No
112,9.47,No,3,Yes
88,9.22,Yes,3,No
98,9.02,No,1,No
107,7.67,No,5,No
112,9.68,No,0,Yes
81,10.27,No,4,No
94,5.49,Yes,3,No
92,9.43,Yes,0,No
90,7.6,Yes,4,No
126,7.42,Yes,1,No
106,8.51,No,3,No
81,5.21,No,5,No
113,7.75,No,3,Yes
131,9.68,Yes,2,Yes
115,6.47,No,3,No
77,6.7,Yes,3,No
92,9.5,Yes,0,No
119,6.96,No,0,No
89,6.72,Yes,3,No
106,6.87,No,5,No
111,7.6,Yes,4,No
86,8.32,No,1,No
99,9,No,5,No
51,7.43,No,0,No
84,8.66,No,5,Yes
96,8.05,Yes,5,No
81,7.13,Yes,4,No
124,8.41,No,5,Yes
78,8.97,No,3,No
93,7.42,No,2,No
101,5.58,No,0,No
121,5.47,No,5,No
78,6.34,No,0,No
117,6.23,No,2,No
100,8.46,No,3,Yes
85,4.89,No,0,No
106,8.92,No,3,No
102,6.2,No,4,No
90,6.91,No,0,No
101,7.77,Yes,3,No
94,5.8,Yes,4,No
101,9.26,No,5,Yes
109,5.78,Yes,0,No
123,7.11,Yes,1,No
81,9.29,No,3,No
131,8.23,No,4,Yes
70,6.31,Yes,5,No
97,6.89,No,1,No
108,8.51,Yes,3,No
104,9.58,No,0,No
90,9.25,No,5,No
96,6.27,No,3,No
92,9.79,Yes,4,Yes
91,4.84,Yes,0,No
112,5.6,Yes,0,No
105,9.21,Yes,5,No
89,6.29,No,0,No
113,4.85,No,2,Yes
104,5.8,Yes,4,No
112,7.44,Yes,1,No
109,8.77,Yes,0,No
87,7.81,No,4,No
91,6.09,Yes,2,No
111,7.56,Yes,2,Yes
109,9.97,Yes,5,No
99,8.64,No,0,No
101,6.72,Yes,4,No
119,10.13,No,2,Yes
91,9.02,No,0,No
108,5.62,Yes,5,No
96,4.96,Yes,3,No
96,6.05,No,3,No
116,8.9,No,3,Yes
112,6.15,Yes,1,No
112,7.88,Yes,4,No
119,5.87,Yes,5,No
100,9.2,No,3,Yes
110,6.32,No,2,No
95,9.84,No,1,No
104,9.47,Yes,3,No
98,4.59,No,0,No
101,7.22,No,2,No
108,5.44,Yes,1,No
87,9.17,No,1,No
131,7.76,No,2,Yes
84,4.87,Yes,3,No
81,5.16,Yes,5,No
117,6.77,Yes,5,No
111,9.28,No,0,No
109,8.81,No,0,No
109,9.7,No,5,Yes
99,7.09,Yes,5,No
86,4.96,No,0,No
101,9.89,Yes,1,No
89,4.77,Yes,3,No
114,9.52,Yes,5,Yes
97,6.86,Yes,5,No
87,5.29,No,2,No
95,8.04,Yes,4,No
106,9.7,Yes,0,No
91,10.26,No,2,Yes
87,5.73,No,5,No
103,6.35,Yes,5,No
103,8.32,Yes,2,Yes
92,8.22,Yes,5,No
92,8.49,No,0,No
103,6.2,No,4,No
78,9.46,No,1,No
78,7.94,Yes,1,No
89,9.52,No,3,Yes
96,7.63,No,5,No
104,6.77,Yes,1,No
122,10.04,No,2,Yes
112,8.14,No,1,No
97,8.96,No,3,No
99,9.55,No,2,No
84,8.1,No,2,No
99,7.62,No,4,No
95,5.28,No,5,No
104,5.41,No,0,No
87,6.16,Yes,0,No
107,5.44,No,0,No
122,5.91,Yes,3,No
98,6.24,Yes,1,No
106,6.57,No,0,No
110,6.75,No,1,No
93,5.4,No,0,No
103,4.79,No,4,No
100,8.62,No,1,No
101,7.98,No,3,No
88,7.29,No,5,No
100,7.76,Yes,5,No
107,9.53,No,3,No
121,7.61,No,1,No
114,7.91,No,5,No
132,9.97,No,3,Yes
88,9.54,No,2,No
113,7.17,Yes,3,No
102,8.04,Yes,4,No
132,5.87,No,4,No
87,7.81,No,1,No
87,9.81,Yes,3,Yes
91,8.02,No,1,No
68,9.88,No,0,No
92,6.78,Yes,2,No
88,10.08,No,1,No
102,8.09,Yes,1,No
105,4.85,No,1,No
128,7.79,No,5,Yes
114,6.78,No,1,No
91,5.23,No,5,No
86,8.82,No,4,No
107,6,No,2,No
80,9,Yes,0,No
127,6.49,No,2,No
117,5.8,No,1,No
92,10,Yes,4,No
74,6.38,No,0,No
120,7.66,Yes,5,Yes
98,8.1,No,1,No
118,7.36,Yes,5,No
76,9.95,Yes,1,No
91,8.01,No,3,No
100,7.19,No,2,No
100,9.2,No,2,No
93,5.81,No,2,No
109,7.98,Yes,3,No
83,9.75,Yes,4,No
97,8.36,Yes,4,No
101,9.09,No,4,No
107,8.36,Yes,5,Yes
110,9.46,No,0,No
83,9.83,Yes,3,No
76,6.48,Yes,3,No
119,6.14,Yes,4,No
104,7.87,No,4,No
88,8.39,Yes,4,No
123,6.22,Yes,3,No
101,4.61,No,4,No
117,6.57,Yes,2,Yes
101,9.75,No,4,No
130,8.81,No,2,Yes
126,7.02,Yes,1,No
96,6.19,No,1,No
114,6.3,No,3,No
109,5.81,No,0,No
120,5.93,Yes,5,Yes
85,9.25,Yes,1,No
110,9.52,No,3,No
115,5.75,Yes,3,No
73,5.47,No,2,No
82,6.6,No,2,No
69,7.27,Yes,4,No
95,6.19,No,5,No
110,6.26,Yes,1,No
122,6.25,Yes,2,No
101,8.52,No,0,No
124,8.46,Yes,5,Yes
79,8.33,No,3,No
74,7.27,No,5,No
99,9.84,No,4,No
105,10.07,No,2,Yes
99,5.73,Yes,2,No
68,5.74,No,2,No
98,7.35,No,5,No
80,5.82,Yes,1,No
110,7.54,Yes,5,No
105,8.36,No,2,No
85,7.19,Yes,5,No
92,6.69,No,3,No
84,7.86,No,2,No
99,10,Yes,5,No
114,6.17,No,0,No
85,8.54,Yes,2,No
107,5.08,Yes,4,No
92,5.01,No,4,No
88,7.46,Yes,0,No
98,5.03,No,4,No
84,4.96,No,1,No
91,5.45,No,3,No
82,7.64,Yes,3,No
129,8.65,No,1,No
100,6.4,No,4,No
89,8.68,No,0,No
103,5.66,Yes,0,No
98,7.7,No,3,No
96,6.75,No,5,No
109,8.74,No,0,No
111,10.03,Yes,1,Yes
92,9.37,Yes,3,No
91,5.36,Yes,2,No
95,9.33,Yes,1,No
65,5.73,Yes,1,No
77,9.53,No,0,No
120,6.3,No,5,No
124,6.91,Yes,0,No
96,5.85,No,0,No
108,5.93,Yes,2,No
104,8.7,No,1,No
146,9.44,Yes,4,Yes
116,7.95,Yes,3,No
98,9.06,Yes,0,No
85,8.92,No,0,No
75,6.59,No,1,No
103,5.18,No,2,No
88,5.04,No,0,No
78,6.68,No,2,No
90,6.41,No,2,No
83,5.66,No,4,No
125,5.91,Yes,2,No
113,5.6,Yes,4,No
99,9.41,No,3,No
122,5.38,No,2,No
101,8.13,Yes,3,No
87,7.79,No,2,No
122,8.02,Yes,4,Yes
108,5.72,No,4,No
84,6.88,Yes,3,No
97,5.7,Yes,1,No
86,7.1,No,1,No
79,6.34,No,1,No
113,7.48,No,2,Yes
128,8.59,No,1,Yes
79,7.93,No,3,No
108,6.94,No,1,No
90,7.18,Yes,3,No
92,9.49,Yes,3,No
91,6.43,No,5,No
87,8.48,No,2,Yes
100,8.97,No,5,Yes
87,6.9,Yes,4,No
104,6.73,No,2,No
99,7.31,No,2,No
96,5.57,Yes,0,No
86,5.15,No,1,No
91,5.22,No,1,No
111,5.62,No,3,Yes
107,7.1,Yes,4,No
85,9.37,No,5,Yes
101,6.53,Yes,1,No
111,9.2,No,1,No
74,9.34,Yes,4,Yes
108,9.75,No,1,No
90,9.43,No,0,No
108,6.48,No,1,No
88,5.13,No,0,No
72,7.57,Yes,2,No
75,7.69,Yes,2,No
100,8.97,No,0,No
103,9.83,No,5,No
86,7.77,No,5,No
109,6.84,No,3,No
75,5.51,Yes,0,No
99,5.16,Yes,3,No
81,7.53,Yes,4,No
90,8.21,No,4,No
100,8.91,No,0,No
87,7.75,No,3,No
94,9.81,No,2,No
115,7.86,No,0,No
91,9.6,No,0,No
112,5.73,Yes,3,No
83,9.46,No,4,Yes
107,8.03,No,5,No
121,5.61,Yes,2,No
62,6.04,No,3,No
88,9.45,No,3,No
108,5.16,No,2,No
96,7.18,Yes,5,No
105,6.71,No,5,No
90,8.32,No,0,No
101,8.7,No,0,No
97,6.95,Yes,1,No
117,7.05,Yes,2,Yes
103,9.75,No,3,No
105,8.51,No,1,No
93,9.21,No,1,No
92,6.91,No,1,No
93,6.61,No,0,No
105,6.99,Yes,4,No
93,8.12,Yes,1,No
104,5.19,Yes,3,No
131,5.93,Yes,5,No
113,5.32,No,0,No
95,6.85,No,5,No
118,9.14,No,4,Yes
93,4.99,Yes,4,No
69,8.68,Yes,1,No
84,9.48,Yes,1,No
71,6.14,No,0,No
94,8.69,Yes,1,No
100,9.81,No,0,No
125,10.1,No,4,Yes
104,6.33,No,3,No
96,5.41,Yes,3,No
112,5.74,No,2,No
66,8.98,No,5,No
103,8.79,Yes,2,Yes
111,8.77,Yes,2,Yes
77,6.36,No,3,No
117,5.83,Yes,1,No
105,8.31,Yes,0,No
93,7.24,Yes,3,No
109,9.11,Yes,2,No
134,6.81,Yes,2,No
102,7.09,No,5,No
103,6.42,No,1,No
93,5.63,No,2,No
87,6.71,Yes,2,No
112,5.22,Yes,0,No
87,6.25,Yes,1,No
101,4.82,No,4,No
92,6.09,Yes,4,No
107,9.21,No,2,Yes
105,6.24,Yes,2,No
115,8.3,No,0,Yes
92,8.26,No,4,No
95,8.16,Yes,1,No
85,9.41,No,1,No
93,4.85,No,3,No
105,8.39,No,5,Yes
111,9.84,No,3,Yes
86,9.68,Yes,1,No
113,5.85,No,3,No
120,6.19,Yes,5,Yes
106,5.92,Yes,5,No
128,8.31,Yes,0,No
88,8.19,Yes,2,Yes
81,6.16,Yes,1,No
73,7.39,No,4,No
122,8.7,No,4,Yes
109,7.2,No,1,No
99,9.31,No,3,No
104,8.61,No,3,No
83,5.15,Yes,1,No
136,8.58,Yes,1,Yes
101,5.92,No,1,No
101,8.19,No,0,No
110,9.86,Yes,4,No
107,9.02,Yes,0,No
103,6.99,Yes,5,No
88,6.91,No,0,No
107,6.09,No,2,No
128,8.02,No,0,No
120,5.33,No,5,Yes
123,7.82,No,4,Yes
92,5.35,No,3,No
85,7.04,No,4,No
98,6.09,No,1,No
100,10,Yes,5,No
116,8.14,No,1,No
74,6.5,Yes,1,No
122,5.24,No,0,No
97,7.17,Yes,5,No
93,5.85,Yes,2,No
84,7.5,No,3,No
75,9.65,No,0,No
112,8.25,Yes,1,Yes
101,8.1,No,4,No
80,8.2,No,1,No
80,9.29,Yes,4,No
94,9.64,Yes,3,No
125,7.71,No,1,No
96,6.09,Yes,5,No
77,7.52,No,5,No
96,5.53,Yes,3,No
95,7.82,Yes,1,No
59,7.16,Yes,1,No
99,5.95,Yes,4,No
96,6.17,No,2,No
110,7.56,No,5,No
127,9.5,Yes,4,Yes
116,7.62,Yes,0,No
95,8.53,No,3,Yes
83,6.61,Yes,3,No
138,7.51,No,2,No
100,7.43,Yes,1,No
100,7.93,Yes,3,No
99,4.94,Yes,2,No
102,7.79,Yes,0,No
97,6.64,No,3,No
91,6.76,Yes,0,No
91,9.72,Yes,5,No
99,5.81,No,4,No
91,6.75,No,3,No
89,7.79,No,3,No
101,9.33,Yes,1,No
96,7.55,Yes,0,No
122,9.18,No,4,Yes
60,9.19,No,2,No
116,6.87,No,4,No
118,7,Yes,3,Yes
68,6.79,Yes,5,No
94,8.71,No,0,No
94,5.29,No,3,No
78,6.94,Yes,2,No
88,8.68,No,2,No
83,8.12,Yes,3,No
126,6.84,No,5,No
114,7.56,No,3,Yes
119,5.72,No,3,No
110,6.97,No,0,No
83,7.59,Yes,1,No
92,9.37,Yes,2,No
107,6.36,No,0,No
81,9.28,Yes,2,Yes
110,8.01,No,3,No
96,4.7,No,2,No
94,9.01,Yes,5,No
110,4.69,No,5,No
106,9.49,Yes,5,No
94,9.69,Yes,4,No
117,6.99,No,2,No
83,6.52,No,5,No
109,6.43,Yes,4,No
108,6.51,Yes,0,No
95,7.33,No,0,No
104,6.9,Yes,5,No
81,8.18,No,4,No
113,5.56,No,2,No
97,8.74,Yes,5,Yes
92,8.58,No,0,No
115,7.49,Yes,2,Yes
89,8.78,No,1,No
78,6.73,Yes,5,No
76,4.77,Yes,1,No
109,8.31,No,5,Yes
80,6.95,No,4,No
126,7.88,No,4,No
68,9.08,Yes,2,No
125,10.12,No,1,Yes
103,8.25,Yes,1,No
98,8.41,No,4,No
91,5.77,Yes,3,No
105,5.85,No,2,No
99,9.09,Yes,2,Yes
116,7.58,Yes,0,No
101,7.65,No,4,No
102,6.12,No,0,No
94,7.66,Yes,3,No
99,6.42,No,0,No
104,8.12,Yes,3,No
74,5.61,No,0,No
79,5.59,No,4,No
111,6.41,No,3,No
102,6.39,No,2,No
97,9.78,Yes,4,No
100,5.55,No,4,No
105,5.65,No,5,No
91,7.64,Yes,1,No
88,7.32,Yes,2,No
102,5.22,No,0,No
85,4.71,No,4,No
106,9.89,Yes,0,No
74,8.3,No,4,Yes
115,6.86,Yes,2,No
107,7.67,No,4,No
103,6.35,No,0,No
114,6.45,No,0,No
124,8.41,Yes,2,Yes
115,9.71,No,0,Yes
72,5.74,No,3,No
80,9.35,Yes,4,No
90,5.26,No,3,No
100,5.91,No,1,No
107,5.6,No,1,No
89,6.11,No,5,No
102,9.67,No,5,No
88,7.5,No,4,No
90,5.74,Yes,0,No
78,10.26,No,2,No
86,9.38,No,1,No
79,8.83,No,0,No
85,9.59,No,5,No
115,5.67,No,2,Yes
85,9.1,No,4,No
139,8.74,No,0,No
107,9.65,Yes,3,No
102,9.37,No,4,No
87,6.28,No,1,No
110,8.9,Yes,4,No
91,5.92,No,4,No
101,6.34,Yes,2,No
138,5.94,No,1,No
98,9.68,No,5,No
117,6.72,No,2,No
89,7.16,No,4,No
99,6.88,No,0,No
126,9.97,No,3,Yes
90,6.31,No,3,No
127,8.72,No,2,Yes
110,8.84,No,0,No
91,7.33,No,3,No
109,7.36,Yes,0,No
114,9.07,No,5,Yes
109,10.03,No,5,No
76,9.12,No,2,No
89,6.5,Yes,1,No
96,9.52,Yes,0,No
98,6.96,Yes,0,No
109,7.79,No,1,No
102,9.48,No,4,Yes
79,5.62,No,4,No
105,8.48,No,4,Yes
109,8.43,Yes,2,No
108,8.97,No,4,No
116,6.34,No,2,Yes
112,7.33,Yes,1,No
106,8.99,No,0,No
98,5.3,Yes,3,No
75,5.88,No,3,No
106,9.7,No,2,No
103,6.67,No,2,No
104,10.18,No,5,No
80,5.66,No,0,No
83,6.35,No,1,No
115,8.46,No,0,Yes
99,7.99,No,5,No
110,7.48,No,2,No
100,7.88,Yes,0,No
100,9.1,No,2,No
114,6.55,No,3,Yes
92,6.96,No,0,No
101,5.73,No,1,No
93,8.12,No,3,No
93,6.63,No,1,No
95,6.69,No,1,No
103,7.23,Yes,2,No
92,5.5,No,1,No
118,5.27,No,5,No
86,8.01,Yes,4,Yes
97,7.09,No,1,No
93,9.61,No,0,No
121,8,Yes,5,No
102,5.13,No,2,No
115,8.17,Yes,2,Yes
77,5.9,Yes,5,No
104,8.69,No,4,Yes
113,9.74,Yes,2,Yes
101,7.6,No,2,No
115,8.27,No,3,Yes
92,6.43,No,3,No
121,7.33,No,3,No
134,9.54,Yes,4,Yes
94,6.16,No,5,No
93,6.75,No,2,No
121,7.16,Yes,2,Yes
123,9.04,Yes,2,Yes
92,6.6,No,1,No
93,9.85,No,2,Yes
95,5.5,No,2,No
79,7.17,Yes,5,No
86,8.52,No,0,No
84,6.41,Yes,0,No
88,8.71,No,2,Yes
99,6.05,No,1,No
103,5.56,Yes,1,No
123,5.18,Yes,4,No
85,9.35,No,4,No
114,8.23,Yes,5,Yes
96,9.17,No,2,Yes
99,6.72,Yes,3,No
110,7.83,No,1,No
83,7.01,Yes,3,No
105,9.6,No,4,No
102,8.74,No,1,No
107,8.36,Yes,3,Yes
104,4.9,Yes,2,No
136,7.76,No,3,No
90,7.42,No,4,No
92,9.38,Yes,1,No
90,6.38,Yes,1,No
91,6.75,Yes,1,No
90,7.03,No,2,No
117,6.58,No,1,No
121,6.08,No,3,No
91,8.88,No,0,No
87,7.39,Yes,5,No
107,9.29,Yes,5,No
91,9.25,No,0,No
109,6.34,No,5,No
103,7.57,No,2,No
77,5.56,No,3,No
123,9.08,Yes,5,Yes
126,7.49,No,2,No
90,6.7,Yes,0,No
94,6.93,No,5,No
104,6.91,No,1,No
105,6,No,0,No
109,6.6,Yes,0,No
130,9.5,No,0,No
97,8.67,Yes,2,Yes
88,6.66,Yes,4,No
79,7.72,No,2,No
89,9.54,No,4,No
99,5.12,No,2,No
126,9.91,Yes,5,Yes
92,6.49,No,5,No
103,8.32,Yes,5,No
99,7.98,Yes,0,No
117,8.23,No,1,No
137,9.78,Yes,3,Yes
92,5.46,Yes,4,No
92,7.09,Yes,2,No
115,7.49,Yes,5,No
110,8.93,No,1,No
127,5.74,No,3,No
108,8.72,No,1,No
94,7.16,Yes,5,No
108,5.95,No,4,No
116,8.52,No,4,Yes
112,5.35,No,3,Yes
107,7.44,No,3,No
116,5.81,No,5,No
117,7.13,Yes,5,Yes
120,7.9,No,4,No
109,8.19,Yes,4,No
97,6.86,Yes,0,No
102,7.32,Yes,3,No
118,6.6,No,3,No
87,7.17,Yes,4,No
105,9.95,No,2,No
94,9.05,Yes,0,No
100,5.5,No,2,No
119,5.22,Yes,4,Yes
102,10.15,No,0,No
100,7.58,No,0,No
79,8.13,Yes,4,No
111,9.31,No,5,Yes
109,6.32,Yes,1,No
132,7.31,No,1,No
95,9.98,No,3,No
103,8.38,Yes,4,No
103,5.37,No,5,No
123,6.16,Yes,4,No
98,6.27,No,5,No
104,8.77,No,2,No
109,6.6,No,4,No
102,4.7,No,1,No
93,9.72,No,5,No
102,6.28,No,4,No
116,5.45,No,2,No
84,6.03,No,3,No
101,6.21,No,5,No
89,7.31,No,0,No
117,9.44,No,5,Yes
77,8.96,Yes,3,No
91,7.29,Yes,2,No
105,7.15,No,4,No
123,7.29,No,1,No
99,5.82,Yes,5,No
91,4.97,No,4,No
128,9.55,No,5,Yes
78,5.97,No,0,No
67,5.78,No,1,No
106,7.14,Yes,3,No
92,7.83,Yes,5,No
84,4.74,No,2,No
110,5.74,No,3,No
103,7.34,No,0,No
91,8.55,No,5,Yes
80,6.36,Yes,0,No
113,7.05,No,4,No
109,7.31,Yes,4,No
98,9.59,No,5,Yes
127,6.76,Yes,4,No
83,5.28,Yes,0,No
77,7.41,No,1,No
89,9.15,No,5,No
99,5.26,No,3,No
103,7.08,No,3,No
96,5.05,Yes,2,No
105,5.48,No,2,No
81,7.73,No,1,No
121,6.75,No,4,Yes
98,9.1,No,4,No
116,7.58,Yes,1,No
105,7.12,Yes,3,No
106,7.22,No,4,No
108,7.69,Yes,3,No
106,5.67,No,0,No
109,9.41,Yes,5,No
119,10.12,No,2,Yes
102,5.95,Yes,4,No
110,5.25,No,2,No
98,5.68,No,1,No
121,8.35,Yes,5,Yes
89,8.76,No,0,No
127,9.11,Yes,4,Yes
99,9.24,No,4,No
78,7.29,No,3,No
101,7.8,No,2,No
89,8.13,Yes,0,No
112,7.2,Yes,5,No
90,7.33,No,3,No
93,7.75,No,5,No
71,7.74,Yes,0,No
93,8.71,No,0,No
63,8.23,No,1,No
76,8.86,Yes,1,No
111,7.83,No,3,No
111,7.57,No,3,No
106,8.2,No,5,Yes
85,7.64,Yes,3,No
99,5.89,No,0,No
99,4.97,Yes,4,No
82,7.89,Yes,1,No
122,7.96,No,5,Yes
113,10.19,Yes,5,Yes
96,6.54,Yes,5,No
100,6.85,No,4,No
103,6.3,No,2,No
69,5.38,No,1,No
96,8.76,No,5,No
89,5.78,No,2,No
84,8.29,No,2,No
95,8.91,Yes,3,Yes
126,7.48,No,5,No
109,9.74,Yes,0,No
91,7.24,No,4,No
108,6.15,No,5,No
120,8.99,Yes,2,Yes
113,9.46,No,5,Yes
100,5.81,No,3,No
90,5.41,No,0,No
110,5.64,No,1,No
105,6.92,No,2,No
113,9.87,No,5,Yes
109,7.72,No,3,No
115,6.66,No,5,Yes
91,9.42,No,5,No
119,7.64,Yes,5,No
102,6.12,No,5,No
131,10.19,Yes,3,Yes
89,9.74,Yes,3,Yes
126,9.32,No,1,Yes
102,7.39,No,0,No
90,8.67,No,4,Yes
92,5.68,Yes,4,No
95,7.42,No,2,No
106,9.9,No,0,No
107,6.01,No,2,No
91,9.19,No,4,Yes
99,7.32,No,1,No
132,4.9,No,5,Yes
125,8.86,No,0,No
106,6.31,Yes,0,No
100,8.36,Yes,2,No
101,5.42,No,2,No
109,10.01,Yes,1,No
84,6.7,Yes,0,No
96,6.52,Yes,4,No
74,5.35,Yes,4,No
105,10.09,Yes,3,No
109,8.36,Yes,4,No
92,9.15,Yes,5,No
123,7.28,No,5,Yes
81,7.8,Yes,3,No
78,6.01,No,3,No
103,7.45,No,2,No
115,6.7,No,4,No
125,9.48,Yes,3,Yes
93,8.7,Yes,4,Yes
116,7,Yes,4,No
99,6.25,No,4,No
97,8.92,No,1,No
113,5.66,Yes,3,No
109,6.14,No,5,No
76,6.53,Yes,4,No
122,8.06,Yes,2,Yes
120,8.66,No,1,No
90,6.37,No,3,No
105,5.02,No,0,No
107,7.46,Yes,3,No
103,8.42,No,1,No
91,5.87,No,2,No
89,6.49,Yes,1,No
99,9.57,No,4,No
117,9.84,No,5,Yes
108,9.85,Yes,5,Yes
94,8.61,No,1,No
111,5.8,No,0,No
57,5.97,No,0,No
117,7.1,Yes,4,Yes
73,6.41,No,4,No
94,9.66,No,0,No
